shop,menu,format,base,milk,liquid,flavor,toppings,tops
Dragon Tea,Roasted Tie Guan Yin Tea,green tea,tea,0,0,undefined,0,unspecified
Dragon Tea,Roasted Tie Guan Yin Milk Tea,green tea,tea,1,0,milk,0,unspecified
Tea Magic,Roasted Oolong Tea,Oolong tea,tea,0,0,undefined,0,unspecified
Trutea,Roasted Oolong Tea,Oolong tea,tea,0,0,undefined,0,unspecified
Song Tea,Roasted Oolong,Oolong tea,tea,0,0,undefined,0,unspecified
Alimama,Roasted Barley,drink,drink,0,0,undefined,0,unspecified
ViVi Bubble Tea,Roast Oolong Fresh Milk,milk,milk,1,0,milk,0,unspecified
Tea and Milk,Rejuvenating Golden Milk Latte,coffee,milk,1,0,milk,0,unspecified
M Tea,Refreshing Guava,drink,drink,0,guava,fruit,0,unspecified
PaTea,Red Babo Milk,milk,milk,1,0,milk,tapioca ball,tapioca ball
PaTea,Red and Yellow Milk,milk,milk,1,0,milk,undefined toppings,unspecified
Coco Fresh Tea & Juice,QQ Black Tea Latte,black tea,milk,1,black tea,milk,undefined toppings,unspecified
M Tea,Purple Rice Bobo Milk,milk,milk,1,0,milk,tapioca ball,tapioca ball
Kung Fu Tea,Pumpkin Oolong Milk Tea,tea,tea,1,pumpkin,other,0,unspecified
Shiny Tea,Premium Green Milk Tea,green tea,tea,1,0,milk,0,unspecified
M Tea,Pink Cherry,drink,drink,0,cherry,fruit,milk foam,milk foam
BIAO Sugar,Phoenix Oolong Tea w. Milk Foam,Oolong tea,tea,1,0,milk,0,unspecified
BIAO Sugar,Phoenix Oolong Tea,Oolong tea,tea,0,0,undefined,0,unspecified
Tea and Milk,Peppermint Tea,tea,tea,0,peppermint,undefined,0,unspecified
Ten Ren's Tea Time,Peanut Milk,milk,milk,1,oeabyt,undefined,0,unspecified
The Alley,Peach Oolong Tea,Oolong tea,tea,0,peach,fruit,0,unspecified
Bubbly Tea,Peach Bubbly,drink,drink,0,peach,fruit,0,unspecified
Ten Ren's Tea Time,Papaya Milk,milk,milk,1,papaya,fruit,0,unspecified
Teado Tea Shop,Papapya Milk,milk,milk,1,papaya,fruit,0,unspecified
Debutea,Osmanthus Oolong Tea Latte,oolong tea,milk,1,osmanthus,flower,0,unspecified
M Tea,Osmanthus Oolong Tea,Oolong tea,tea,0,osmanthus,flower,0,unspecified
Ten Ren's Tea Time,Osmanthus Oolong Tea,Oolong tea,tea,0,osmanthus,flower,0,unspecified
Tea and Milk,Original Red Bush Rooibos,drink,drink,0,0,undefined,0,unspecified
Machi Machi,Oolong Tieguanyin Tea,Oolong tea,tea,0,0,undefined,0,unspecified
Gong Cha,Oolong Tea Latte,oolong tea,milk,1,0,milk,0,unspecified
Shiny Tea,Oolong Tea Latte,oolong tea,milk,1,0,milk,0,unspecified
Boba Fries,Oolong Tea,Oolong tea,tea,0,0,undefined,0,unspecified
Tea Magic,Oolong Milk Tea,Oolong tea,tea,1,0,milk,0,unspecified
Trutea,Oolong Milk Tea,Oolong tea,tea,1,0,milk,0,unspecified
Gong Cha,Oolong Milk Tea,Oolong tea,tea,1,0,milk,0,unspecified
Shiny Tea,Oolong Milk Tea,tea,tea,1,0,milk,0,unspecified
Song Tea,Oolong Milk Tea,tea,tea,1,0,milk,0,unspecified
Gong Cha,Oolong Milk Foam Tea,Oolong tea,tea,1,0,milk,milk foam,other
Coco Fresh Tea & Juice,Okinawa Black Sugar Latte,coffee,milk,1,brown sugar,brown sugar,0,unspecified
Teazzi Tea Shop,Oats Latte,coffee,milk,1,0,milk,oats,other
Shiny Tea,Mung Bean Green Milk Tea,green tea,tea,1,0,milk,green been,other
Shiny Tea,Mung Bean Black Milk Tea,black tea,tea,1,0,milk,green been,other
OJBK Tea Shop,Mountain Oolong Milk Tea,Oolong tea,tea,1,0,milk,0,unspecified
OJBK Tea Shop,Mountain Oolong Milk Tea,Oolong tea,tea,1,0,milk,0,unspecified
Teado Tea Shop,Monkey-Pickled Oolong Tea,Oolong tea,tea,0,0,undefined,0,unspecified
Ten Ren's Tea Time,Mocha Milk,milk,milk,1,Matcha,matcha,0,unspecified
Kung Fu Tea,Mocha,matcha,milk,0,Matcha,matcha,0,unspecified
Tea Magic,Mint Milk Tea,tea,tea,1,mint,other,0,unspecified
Mr. Wish,Milk Tea,tea,tea,1,0,milk,0,unspecified
Trutea,Milk Black Tea,black tea,tea,1,0,milk,0,unspecified
Ten Ren's Tea Time,Loung Yen Shredded Ice,shredded ice,other,0,longan,fruit,0,unspecified
Kung Fu Tea,Longan Jujube Tea,drink,drink,0,longan,fruit,0,unspecified
Shiny Tea,Longan & Red Date Tea,tea,tea,0,longan,fruit,0,unspecified
Shiny Tea,Longan & Red Date Milk Tea,tea,tea,1,longan,fruit,0,unspecified
The Alley,Little Happiness,drink,drink,0,0,undefined,0,unspecified
Tea and Milk,Lavender Flower Rooibos,drink,drink,0,lavendar,flower,0,unspecified
Tea Magic,Lavendar Milk Tea,tea,tea,1,lavendar,flower,undefined toppings,unspecified
